Question	Answer	Source	Metadata
Type Cover for Surface Pro 4 keyboard and touchpad	**Type Cover for Surface Pro 4 keyboard and touchpad**\n\n*The Type Cover for Surface Pro 4 clicks into place, giving you a traditional keyboard, gesture-enabled touchpad, and protective cover all in one slim package.*  \n\n*When you close the Cover, your Surface Pro 4 goes to sleep.*  \n\n*Fold the Cover back to use your Surface as a tablet. While the Cover is folded back, your Surface won’t detect key presses.*  \n\n*For more info about Type Covers, see Type Cover on Surface.com.*  \n\n*The touchpad on the Type Cover for Surface Pro 4 has right-click and left-click buttons and supports Windows 10 gestures.*  \n\n*For demos showing how to use the touchpad*  \n\n*buttons, see Touchpad use and settings on*  \n\n*Surface.com.*	activeLearningSampleFAQ.tsv	
Settings - Get to know Windows 10	**Settings**\n\n*Go to Start and select Settings for access to all your settings.*	activeLearningSampleFAQ.tsv	
Storage and OneDrive	**Storage and OneDrive**\n\n*Surface Pro 4 is available with up to 16 GB of RAM and 512 GB storage. You can extend your storage options by using OneDrive, USB drives, and microSD cards. For more info about internal and removable storage options, see Surface storage options.*	activeLearningSampleFAQ.tsv	
OneDrive - Storage and OneDrive	**OneDrive**\n\n*OneDrive is online storage that comes with your Microsoft account. Save your documents, photos, and other files to the OneDrive folder on your Surface and they'll be synced to OneDrive in the cloud whenever you have an Internet connection. The copy in the cloud is available to you from any web-connected device. If you want to, you can share some of the folders in your OneDrive with others or send someone a link to just one page.*  \n\n*To save space on your Surface, you can choose not to sync some of your OneDrive folders. You can still access your files on the Internet by signing into OneDrive.com, but they won't be available in File Explorer. You can add them back at any time.*  \n\n*Here's how to choose which folders to sync:*  \n\n1.  Select File Explorer in the taskbar and open the OneDrive folder.\n2.  Right-click any folder in OneDrive and select Choose OneDrive folders to sync to producea list of all the folders in your OneDrive account.\n3.  Select the folders you want to sync to your Surface and select OK .	activeLearningSampleFAQ.tsv	
Surface Pen and OneNote	**Surface Pen and OneNote**\n\n*Use the Surface Pen that comes with your Surface Pro 4 to open Cortana or OneNote, take a screenshot, or write or draw in any app that supports inking.*	activeLearningSampleFAQ.tsv	
Surface Pen features	**Surface Pen features**\n\n*For more info, see Using Surface Pen (Surface Pro 4 version) on Surface.com.*	activeLearningSampleFAQ.tsv	
Save files you’re working on to OneDrive	**Save files you’re working on to OneDrive**\n\n*To save a file from a desktop app directly to OneDrive, choose OneDrive in the left panel of the Save As screen. Then navigate to the folder where you want to save the file.*  \n\n*For more info about OneDrive, see OneDrive on your PC on Windows.com.*	activeLearningSampleFAQ.tsv	
Pair the pen with your Surface	**Pair the pen with your Surface**\n\n*If you didn't pair the pen when you set up your Surface, you can pair it now.*  \n\n1.  Go to Start , and select Settings > Devices > Bluetooth .\n2.  Make sure that Bluetooth is On .If Surface Pen appears in the list of discovered devices, select it and select Remove Device .\n3.  Hold down the top button of the pen for about seven seconds, until the light on the flat side of the pen glows white.\n4.  When the pen appears in the list of Bluetooth devices, select it and select Pair.	activeLearningSampleFAQ.tsv	
Try out features built in to the top button of the pen	**Try out features built in to the top button of the pen**\n\n*The top button connects you to Windows 10 features on your Surface.*	activeLearningSampleFAQ.tsv	
Click and hold to open Cortana or Search	**Click and hold to open Cortana or Search**\n\n*When you click and hold the top button, Cortana opens (or Search opens if Cortana is not set up).*  \n\n*Enter your question on the screen.*	activeLearningSampleFAQ.tsv	
Click to open a Quick Note	**Click to open a Quick Note**\n\n*OneNote is a great way to find, capture, organize, and share information. Click the top button on your pen while your Surface is asleep and you can jot a note or sketch immediately, without unlocking the screen. When you’re using your Surface, click the top button to open OneNote.*	activeLearningSampleFAQ.tsv	
Get acquainted with OneNote	**Get acquainted with OneNote**\n\n*OneNote is a free app that you can use on any of your devices—even Mac, iOS, and Android devices. Your data is stored in the cloud and synced across all your devices.*  \n\n*Create as many notebooks as you need. They’re all right there in OneNote. Use sections, pages, and tags to make things easy to find. Find what you need in a flash by searching one notebook or all of them.*  \n\n*When you click the top of the pen, OneNote opens to a new Quick Note. You can move that note to any notebook and section you want.*	activeLearningSampleFAQ.tsv	
Double-click to put a screenshot into a Quick Note	**Double-click to put a screenshot into a Quick Note**\n\n*Use your Surface Pen to take a screenshot and copy it to OneNote. Here’s how:*  \n\n1.  Display what you want to copy. It can be a webpage, a photo, or anything else you see on your screen.\n2.  Double-click the top button on your Surface Pen.\n3.  Select what you want to capture in the screenshot by dragging the tip of the pen from one corner of the portion you want to capture to the opposite corner. When you lift the pen tip, your selection appears in a new page in OneNote.  \n\n*Now you can mark up the screenshot with the pen, move it to any of your OneNote notebooks, or share it with others.*	activeLearningSampleFAQ.tsv	
Share a page	**Share a page**\n\n*Select Share in the upper-right corner to share a page in OneNote through email or social media.*	activeLearningSampleFAQ.tsv	
Share a notebook	**Share a notebook**\n\n*To get a link to a whole notebook that you can paste into an email or file: Select Menu in the upper-left corner to open the list of notebooks.*  \n\n*Right-click the notebook you want to share and select Copy Link to Notebook .*  \n\n*What people are able to see depends on the settings for the OneDrive folder containing the notebook. For info on setting permissions, see Share files and folders on Office.com.*  \n\n*Learn more about OneNote at http://www.onenote.com/.*	activeLearningSampleFAQ.tsv	
Connect monitors, accessories, and other devices	**Connect monitors, accessories, and other devices**\n\n*You can connect monitors, accessories, and other devices directly to your Surface Pro 4 using the USB port, Mini DisplayPort, or Bluetooth . Or, connect everything to a Surface Dock (sold separately).*  \n\n*With Surface Dock, you can switch between fully connected and fully mobile with a single connector.*	activeLearningSampleFAQ.tsv	
Set up your workspace with Surface Dock	**Set up your workspace with Surface Dock**\n\n*Surface Dock supports high-speed transfer of video, audio, and data. Its compact design gives you flexibility and keeps your desktop clutter-free.*  \n\n*Here's how to get your workspace set up with Surface Dock:*  \n\n1.  Plug the AC end of the Surface Dock power cord into an electrical outlet or power strip, and plug the other end into the power port on Surface Dock.\n2.  If you want to use a wired network connection, connect a network cable to the Ethernet port on Surface Dock.\n3.  Connect your computer peripherals to the USB ports on Surface Dock.\n4.  Connect a cable from your monitor to a Mini DisplayPort on Surface Dock.If your monitor cable doesn’t have a Mini DisplayPort connector, you’ll need to buy another cable or an adapter. For more info on adapters, see Connect Surface to a TV, monitor, or projector on Surface.com.\n5.  Connect any audio accessories like speakers or headphones.  \n\n*Without external speakers, you may not hear audio when you’re using your Surface. If this is the case, see Troubleshoot Surface Dock on Surface.com to learn how to switch to the builtin speakers on your Surface.*  \n\n*Now you can connect to your monitors and peripherals with a single connection to the power port on your Surface:*  \n\n1.  Unplug the Surface power supply and remove any attached accessories from your Surface.You can leave a microSD card in the microSD card slot.  \n2.  Connect Surface Dock to the charging port of your Surface, using the cable provided.  \n\n*For more info, see Using Surface Dock on Surface.com.*	activeLearningSampleFAQ.tsv	
Connect or project to a monitor, screen, or other display	**Connect or project to a monitor, screen, or other display**\n\n*If you don't have a Surface Dock, or when you're away from your desk, you can connect your Surface to a TV, monitor, or projector. Or, connect to an HDTV and watch movies on a big screen.*  \n\n*There are a number of ways to connect:*  \n\n*   HDTV . If your TV has an HDMI port, you’ll need an HDMI cable and a Mini DisplayPort to HD AV adapter or an HDMI to Mini DisplayPort cable. (Both are sold separately on Surface.com.)\n*   Projector or monitor . If your monitor has a DisplayPort, you can connect it to your Surface using a DisplayPort to Mini DisplayPort cable (sold separately). If your monitor doesn’t have a DisplayPort or HDMI port, use a VGA cable and the Mini DisplayPort to VGA Adapter.Note: A VGA adapter or cable is for video only. Audio will play from your Surface speakers unless you’ve connected external speakers. For more info about this, see Surface sound,volume, and audio accessories on Surface.com.  \n*   Wireless . You can connect to wireless displays when Windows detects one nearby. Or, use a Microsoft Wireless Display Adapter (sold separately) to connect to a screen using Miracast.  \n\n*Here's how to connect to a wireless display:*  \n\n1.  On your Surface, swipe in from the right edge of the screen or select Action center in the taskbar.\n2.  Select Connect, and in the list of displays, select the name of the wireless display.  \n\n*For more info, see Connect Surface to a TV, monitor, or projector on Surface.com.*	activeLearningSampleFAQ.tsv	
Cameras and the Camera app	**Cameras and the Camera app**\n\n*By default, the built-in Camera app is ready to take photos, but you can switch easily between photo and video mode. To take a photo or record a video:*  \n\n1.  Go to Start , and select Camera .\n2.  Select the on-screen Camera or Video button to activate the camera you want to use and select the button again to take a picture or start recording video.  \n\n*A small privacy light appears near the active camera when you’re using it. The privacy light can’t be turned off.*	activeLearningSampleFAQ.tsv	
View photos and videos	**View photos and videos**\n\n*By default, your photos and videos are saved to the Camera roll on your Surface. You can choose to save your pictures to OneDrive so you can access them from any web-connected device. For*  \n\n*more info, see Using OneDrive on Surface.*  \n\n*There are several ways to look through your photos and videos:*  \n\n*   Camera app: Select Photos in the upper-left corner to open the Photos app and view the most recent picture or video taken. Swipe right to see others in your collection.\n*   Photos app: Select View collection in the upper-left corner to see other photos and videos in your collection.\n*   File Explorer or OneDrive app: Go to your Pictures library and open your Camera roll.  \n\n*For more info, including info on changing where photos are saved and editing photos and videos,*  \n\n*see Take photos and videos with Surface on Surface.com.*	activeLearningSampleFAQ.tsv	
OneNote - Apps on your Surface Pro 4	**OneNote**\n\n*You can use the OneNote app on your Surface to take notes and store them in the cloud. With OneNote, you’ll have your notes whenever you need them—on your computer, phone, or the web. If you have the Bluetooth -enabled Surface Pen, you can open OneNote with a click of the pen’s top button. For more info,*  \n\n*see www.onenote.com.*	activeLearningSampleFAQ.tsv	
Mail - Apps on your Surface Pro 4	**Mail**\n\n*Mail automatically organizes your inbox. You can add multiple accounts and access them through this single point. You can also flag, archive, or delete messages by swiping to the left or right, or mark messages as read or unread.*  \n\n*See Set up and use email to get started.*	activeLearningSampleFAQ.tsv	
Calendar - Apps on your Surface Pro 4	**Calendar**\n\n*Use Calendar to manage your busy schedule. Use the What's next view to see what’s on the schedule or look at entire days, weeks, workweeks, or months.*	activeLearningSampleFAQ.tsv	
People - Apps on your Surface Pro 4	**People**\n\n*The People app brings all your contacts together in a single space. See each contact’s email address, phone number, website, and other information at a glance.*	activeLearningSampleFAQ.tsv	
Microsoft Edge - Apps on your Surface Pro 4	**Microsoft Edge**\n\n*Microsoft Edge gives you fast and fluid access to the Internet. Open pages in Reading View, save them to your reading list, or take notes right on the page using inking. Check out Get to know Microsoft Edge on Windows.com for details.*	activeLearningSampleFAQ.tsv	
Groove Music - Apps on your Surface Pro 4	**Groove Music**\n\n*Groove Music lets you access your music collection and more from your Surface.*	activeLearningSampleFAQ.tsv	
Camera - Apps on your Surface Pro 4	**Camera**\n\n*The Camera app lets you take regular photos, photo bursts, or video using either the front or back camera on your Surface. See Take photos and videos with Surface on Surface.com for how-to info.*  \n\n**Photos**  \n\n*Edit and organize your photos using the Photos app. Crop, enhance, and add effects to your images and set them to be the lock screen background.*	activeLearningSampleFAQ.tsv	
Movies & TV	**Movies & TV**\n\n*Movies & TV brings you the latest movies and TV shows as well as featured hits.*  \n\n*It offers recommendations based on what you’ve watched, making it easier to find something new that you’ll like. Check out Watch TV shows, movies, and videos on Surface.com to get started.*	activeLearningSampleFAQ.tsv	
News - Apps on your Surface Pro 4	**News**\n\n*News brings you the latest breaking stories as well as more in-depth coverage.*  \n\n*You can customize the coverage to add more local information or highlight the topics you choose.*	activeLearningSampleFAQ.tsv	
Weather - Apps on your Surface Pro 4	**Weather**\n\n*The Weather app offers hourly, daily, and 10-day forecasts as well as historical information and annual weather trends. You can also add locations, so you can see not only the information for where you are but for where you might be heading.*	activeLearningSampleFAQ.tsv	
Money - Apps on your Surface Pro 4	**Money**\n\n*Money not only covers the fast-moving market conditions but lets you track your portfolio, browse financial news articles, and access tools and calculators for common financial tasks.*	activeLearningSampleFAQ.tsv	
Sports - Apps on your Surface Pro 4	**Sports**\n\n*Sports brings you scoreboards, schedules, videos, slide shows, and news headlines and stories to help you keep up to date with the world of sports and your favorite teams.*	activeLearningSampleFAQ.tsv	
Maps - Apps on your Surface Pro 4	**Maps**\n\n*Maps lets you see your current location, zoom in for greater detail, zoom out for a bigger picture, scroll or search for new locations, get directions, and more.*	activeLearningSampleFAQ.tsv	
The Surface app	**The Surface app**\n\n*The Surface app is pre-installed on your Surface Pro 4. Select the buttons on the left side of the app to:*  \n\n*Adjust pen sensitivity.*  \n\n*Optimize audio.*  \n\n*Get quick access to online help for your Surface.*  \n\n*View information about your Surface, like the serial number and computer name.*  \n\n*For info, see Install and use the Surface app on Surface.com.*	activeLearningSampleFAQ.tsv	
Personalization and settings	**Personalization and settings**\n\n*Settings control nearly everything about how your Surface looks and works. By adjusting settings, you can customize your Surface to work the way you want. Here are a few different ways to find and change your settings.*	activeLearningSampleFAQ.tsv	
Get more apps	**Get more apps**\n\n*Ready to get even more apps? You can install more apps and programs from the Windows Store, websites, or a CD or DVD. To learn more, see Install and uninstall apps on Surface on Surface.com.*  \n\n*For more info about the Windows Store, see Explore the Store on Windows.com.*	activeLearningSampleFAQ.tsv	
Windows Settings - Personalization and settings	**Windows Settings**\n\n*Windows 10 has a simpler, streamlined approach screen for adjusting your settings.*  \n\n1.  Go to Start , and selectSettings .\n2.  Select the type of settings you want to change or view.  \n\n*You can enter the setting you want to change in the Find a setting box and choose a setting from the list.*  \n\n*For more info, see A new look for settings on Windows.com.*	activeLearningSampleFAQ.tsv	
Action center - Personalization and settings	**Action center**\n\n*You can change common settings, like Airplane mode and Wi‑Fi, on the fly from the Action center in the taskbar. For more info, see Take action instantly on Windows.com.*	activeLearningSampleFAQ.tsv	
Accessibility - User Guide	**Accessibility**\n\n*Ease of Access features let you use your Surface the way you want. To see what features are available:*  \n\n** Go to Start , and select Settings > Ease of Access .**  \n\n*For more info about Ease of Access features, see Make your PC easier to use on Windows.com.*	activeLearningSampleFAQ.tsv	
Cortana - Personalization and settings	**Cortana**\n\n1.  Open Cortana by selecting the search box in the taskbar.\n2.  Ask your question and select an answer under Settings .  \n\n*For more info, see What is Cortana?*	activeLearningSampleFAQ.tsv	
Surface app - Personalization and settings	**Surface app**\n\n*Open the Surface app to adjust settings for the Surface Pen, OneNote, and more.*  \n\n*For info, see Install and use the Surface app on Surface.com.*	activeLearningSampleFAQ.tsv	
More help - User Guide	**More help**\n\n*For more information on how to use your Surface Pro 4, use the Surface app that's pre-installed on your new Surface or visit Surface Support on Surface.com. The Surface app connects you directly to Surface help topics on Surface.com.*	activeLearningSampleFAQ.tsv	
Register your Surface	**Register your Surface**\n\n*If you haven’t already registered your Surface Pro 4 and other Surface products, you can do so at microsoft.com/surface/support/register. You’ll need your Microsoft account (the email address and password that you use to sign in to your Surface and to download apps from the Windows Store), and the serial number of your Surface Pro 4, Cover, or other Surface products.*  \n\n*For more info, see Find the serial number on Surface on Surface.com.*	activeLearningSampleFAQ.tsv	
Repair - Registration, repair, and warranty	**Repair**\n\n*Before sending your Surface in for service, you can check out the Surface troubleshooting articles on Surface.com. If you can’t solve the problem with troubleshooting, contact us through Surface.com.*  \n\n*If you continue to have a problem with your Surface, you can open a service request and send your product in for service.*  \n\n*Before you send your Surface in for service, see How to prepare your Surface for service. Then go to Send my Surface in for service on Surface.com, sign in with your Microsoft account, and follow the on-screen instructions.*	activeLearningSampleFAQ.tsv	
Warranty - Registration, repair, and warranty	**Warranty**\n\n*For warranty info, see Surface warranty and Surface warranty documents on Surface.com.*	activeLearningSampleFAQ.tsv	
Safety and regulatory information	**Safety and regulatory information**\n\n*See Safety and regulatory information on Surface.com.*	activeLearningSampleFAQ.tsv	
