Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId	SourceDisplayName
Microphones	** Microphones**\nis Two noise-canceling microphones ensure accurate audio recording and enhanced call quality.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	36	Surface
Stereo speakers	** Stereo speakers**\nis Two front-facing stereo speakers with Dolby® enhanced sound provide an immersive playback experience for all your music, podcasts, and audio books.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	37	Surface
Ports and connectors	** Ports and connectors**\nis Surface Book has the ports you expect from a full-feature laptop. Two full-size USB 3.0 ports Connect a USB accessory like a mouse, printer, Ethernet adapter, USB drive, or smartphone.  SD card slot Use the full-size SD card slot with an SD card (sold separately) for extra storage and transferring files.  Mini DisplayPort version 1.2a Share what’s on your Surface screen by connecting it to an HDTV, monitor, or projector. (Video adapters are sold separately.)  3.5 mm headset jack Plug in your favorite headset for a little more privacy when listening to music or conference calls.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[{"ClusterHead":"sdk","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"sdk","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	38	Surface
Software	** Software**\nis Windows 10 operating system Windows 10 provides a variety of options for entertainment and productivity whether you’re at school, at home, or on the go.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	39	Surface
Processor	** Processor**\nis The 6th Gen Intel® Core™ i5 or i7 processor provides the speed and power you need for smooth, fast performance.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	40	Surface
Memory and storage	** Memory and storage**\nis Choose from various configurations up to 16 GB of RAM with 512 GB storage.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	41	Surface
Sensors	** Sensors**\nis Six sensors—magnetometer, ambient light sensor, accelerometer, gyroscope, Hall effect, and Wi-Fi SAR—let apps do things like track motion and determine location.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	42	Surface
Set up your Surface Book	**Set up your Surface Book**\n\nBefore you start, make sure a wireless network is available and you have the network password.\n\nIf you have a [Microsoft account](http://windows.microsoft.com/en-us/windows-10/getstarted-microsoft-account) , use it to set up your Surface Book. A Microsoft account is an email address and password you use to sign in to other Microsoft services like Xbox, Outlook.com, OneDrive, Skype, or Windows Phone. If you don’t already have a Microsoft account, you can create one during setup.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:set up your surface book	[{"ClusterHead":"setup surface","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"setup surface","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[{"DisplayOrder":0,"QnaId":44,"Qna":null,"DisplayText":"Charge your Surface Book"},{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Set up Windows"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"Choose a mode to work in"}]	43	Surface
Charge your Surface Book	**Charge your Surface Book**\n\n1.  Connect the two parts of the power cord.\n2.  Connect the power cord securely to the charging port on your Surface Book. A light appears at the end of the connector when your Surface is getting power.✪\n3.  Plug the power supply into an electrical outlet.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:charge your surface book	[{"ClusterHead":"book","TotalAutoSuggestedCount":3,"TotalUserSuggestedCount":1,"AlternateQuestionList":[{"Question":"book","AutoSuggestedCount":3,"UserSuggestedCount":1}]}]	False	[]	44	Surface
Set up Windows	**Set up Windows**\n\nPress the power button to turn on your Surface Book.\n\nWindows starts and guides you through the setup process. During setup you’ll connect to a wireless network and choose a language, color scheme, and name for your Surface. ✪\n\nFor more info, see [Set up your Surface](http://www.microsoft.com/surface/support/getting-started/set-up-your-surface) on Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:set up windows	[]	False	[]	45	Surface
Choose a mode to work in	**Choose a mode to work in**\n\nYou can configure your Surface Book to suit whatever you’re doing at the moment. With the Clipboard attached to the full-size backlit keyboard, Surface Book is a high-performance laptop. ✪\n\nThe keyboard attaches to the Clipboard with a friction mechanism. You can detach the keyboard and reattach it in the position you want.\n\nTo detach the keyboard:\n\n1.  Press and hold the Detach key , or select Detach  in the taskbar, until the LED on the key glows red, then green.✪ ✪\n2.  When the light turns green, pull the Clipboard away from the keyboard.\n\n| With the Clipboard detached from the keyboard, Surface Book becomes a thin, light tablet that works perfectly with OneNote and Surface Pen. It even has its own battery, giving you several hours of use with the keyboard detached. |  |\n| --- | --- |\n| To reattach the keyboard, align the keyboard and Clipboard and bring them together until they click into place. |  |\n| Turn the Clipboard around and reattach it to use Surface Book like a creative canvas. By reconnecting it to the keyboard, you have access to the USB ports and the DisplayPort and you have more battery time. |  |\n| Show your screen to other people in the room by attaching the Clipboard to the keyboard so you’re looking at the back of the Clipboard as you type. |  |\n\n✪\n\n✪\n\n✪\n\nNote: Surface Book uses battery power to release the Clipboard. If the battery is too low, the green light won’t come on and you won’t be able to detach the keyboard from the Clipboard. Charge your Surface Book until you have enough power to disable the friction mechanism.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:choose a mode to work in	[]	False	[]	46	Surface
The basics	**The basics**\n\nHere are a few basic things to know about your Surface Book.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:the basics	[]	False	[{"DisplayOrder":0,"QnaId":48,"Qna":null,"DisplayText":"Power and charging"},{"DisplayOrder":1,"QnaId":52,"Qna":null,"DisplayText":"Power states: On, off, sleep, and restart"},{"DisplayOrder":2,"QnaId":57,"Qna":null,"DisplayText":"Touch, keyboard, pen, and mouse"}]	47	Surface
Power and charging	**Power and charging**\n\nSurface Book has two batteries—one in the keyboard and one in the Clipboard. It takes two to four hours to charge Surface Book fully from an empty state. It can take longer if you’re using your Surface Book for power-intensive activities like gaming or video streaming while you’re charging it.\n\nYou can use the USB port on your power supply to charge other devices, like a phone, while your Surface Book charges. Note that the USB port on the power supply is only for charging, not for data transfer. If you want to use a USB device, plug it into the USB port on your Surface Book.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:power and charging	[{"ClusterHead":"power and charging","TotalAutoSuggestedCount":27,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"power and charging","AutoSuggestedCount":27,"UserSuggestedCount":0}]}]	False	[{"DisplayOrder":0,"QnaId":49,"Qna":null,"DisplayText":"Check the battery level"},{"DisplayOrder":1,"QnaId":51,"Qna":null,"DisplayText":"Making your battery last"}]	48	Surface
Check the battery level	**Check the battery level**\n\nYou can check the battery level from the lock screen or on the desktop. Lock screen\n\nWhen you wake your Surface Book, the battery status appears in the lower-right corner of the lock screen. ✪	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:check the battery level	[{"ClusterHead":"Check the battery level","TotalAutoSuggestedCount":7,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Check the battery level","AutoSuggestedCount":7,"UserSuggestedCount":0}]}]	False	[{"DisplayOrder":0,"QnaId":50,"Qna":null,"DisplayText":"Desktop taskbar"}]	49	Surface
Desktop taskbar	**Desktop taskbar**\n\nOn the desktop, select the battery status icon on the right side of the taskbar. The battery status pane shows the charging level for both batteries. ✪\n\nWhen your Surface Book is fully charged, it should last up to 10 hours for web browsing.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf		[]	False	[]	50	Surface
Making your battery last	**Making your battery last**\n\nTo learn ways to conserve power and make your battery last longer, see [Surface battery and power](https://www.microsoft.com/surface/support/hardware-and-drivers/battery-and-power-pro) on Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:making your battery last	[]	False	[]	51	Surface
Power states: On, off, sleep, and restart	**Power states: On, off, sleep, and restart**\n\nHere's how to turn your Surface Book on, shut it down, restart and wake it, and put it into a power-saving state.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:power states: on, off, sleep, and restart	[]	False	[{"DisplayOrder":0,"QnaId":53,"Qna":null,"DisplayText":"On or wake"}]	52	Surface
On or wake	**On or wake**\n\nPress and release the power button on Surface Book. Or, press the top button on your Surface Pen to wake up your Surface Book.\n\nIf nothing happens, connect the power supply and press the power button again.\n\nIf your Surface still doesn’t turn on, see [Surface won’t turn on, Windows won't](http://www.microsoft.com/surface/support/warranty-service-and-recovery/surface-wont-turn-on) [start, or the battery won't charge](http://www.microsoft.com/surface/support/warranty-service-and-recovery/surface-wont-turn-on) on Surface.com.\n\n| Off or shut down | Go to Start , and select Power > Shut down. |\n| --- | --- |\n| InstantGo | Do any of the following:   Press and release the power button on the top edge of your Surface.   Don’t use your Surface for a few minutes.   Go to Start , and select Power > Sleep.    Close the keyboard. |\n| Restart | Go to Start , and select Power > Restart. |\n\n*   ✪\n\nFor more info, see [Surface power states](http://www.microsoft.com/surface/support/hardware-and-drivers/surface-power-sleep-and-wake) on Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf		[]	False	[{"DisplayOrder":0,"QnaId":54,"Qna":null,"DisplayText":"Off or shut down"},{"DisplayOrder":1,"QnaId":55,"Qna":null,"DisplayText":"InstantGo"},{"DisplayOrder":2,"QnaId":56,"Qna":null,"DisplayText":"Restart"}]	53	Surface
Off or shut down	** Off or shut down**\nis Go to Start , and select Power > Shut down.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	54	Surface
InstantGo	** InstantGo**\nis Do any of the following:   Press and release the power button on the top edge of your Surface.  Don’t use your Surface for a few minutes.  Go to Start , and select Power > Sleep.   Close the keyboard.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	55	Surface
Restart	** Restart**\nis Go to Start , and select Power > Restart.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	56	Surface
Touch, keyboard, pen, and mouse	**Touch, keyboard, pen, and mouse**\n\nWith Surface Book, you can switch easily between using the touchscreen, the keyboard, a mouse, or a pen.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:touch, keyboard, pen, and mouse	[]	False	[{"DisplayOrder":0,"QnaId":58,"Qna":null,"DisplayText":"Touchscreen"},{"DisplayOrder":1,"QnaId":59,"Qna":null,"DisplayText":"Keyboard"},{"DisplayOrder":2,"QnaId":69,"Qna":null,"DisplayText":"Touchpad or mouse"},{"DisplayOrder":3,"QnaId":70,"Qna":null,"DisplayText":"Surface Pen (Surface Pro 4 version)"}]	57	Surface
Touchscreen	**Touchscreen**\n\nYou can use your fingers on the touchscreen just as you would on a smartphone. For example, drag your finger across the screen to scroll. For info about ways you can interact with the touchscreen, see Using touch with Surface Book in [Get started with Surface Book](http://www.microsoft.com/surface/support/getting-started/get-started-with-surface-book) on Surface.com.\n\nThere’s also a built-in on-screen keyboard you can use. For more info, see [How to use the Surface](http://www.microsoft.com/surface/support/touch-mouse-and-search/how-to-use-the-on-screen-keyboard) [touch keyboard](http://www.microsoft.com/surface/support/touch-mouse-and-search/how-to-use-the-on-screen-keyboard) on Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:touchscreen	[]	False	[]	58	Surface
Keyboard	**Keyboard**\n\nThe Surface Book keyboard has a standard layout and includes backlit keys. Special shortcut keys and function keys help you do common tasks quickly. Keys on the top row double as function keys—hold down the Fn key while you press a top-row key. The Fn key also works in combination with other keys to do certain things.\n\nHere are some of the basic shortcut keys and the special Fn key combinations on the Surface Book keyboard.\n\nKey icon What it does\n\n Decreases keyboard backlighting\n\n|  | Increases keyboard backlighting |\n| --- | --- |\n|  | Plays or pauses audio or video |\n|  | Turns audio muting on or off |\n|  | Turns the volume down |\n|  | Turns the volume up |\n|  | Lets you separate the keyboard from the Clipboard |\n|  | Opens Start |\n|  | Opens a contextual menu (right-click menu) |\n| PrtScn | Takes a screen shot |\n| Home | Depends on the app you’re using. For example, in Word, it goes to the beginning of a line. |\n| End | Depends on the app you’re using. For example, in Word, it goes to the end of a line. |\n| Ins | Toggles between insert and overtype mode |\n| PgUp | Goes up a page |\n| PgDn | Goes down a page |\n| Fn+Del | Increases screen brightness |\n| Fn+Backspace | Decreases screen brightness |\n| Fn+Spacebar | Places a screenshot of the entire screen or screens onto your Windows clipboard |\n\nSee Using the Surface Book touchpad and keyboard in [Get started with Surface Book](http://www.microsoft.com/surface/support/getting-started/get-started-with-surface-book) on Surface.com for more info.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:keyboard	[]	False	[{"DisplayOrder":0,"QnaId":60,"Qna":null,"DisplayText":"PrtScn"},{"DisplayOrder":1,"QnaId":61,"Qna":null,"DisplayText":"Home"},{"DisplayOrder":2,"QnaId":62,"Qna":null,"DisplayText":"End"},{"DisplayOrder":3,"QnaId":63,"Qna":null,"DisplayText":"Ins"},{"DisplayOrder":4,"QnaId":64,"Qna":null,"DisplayText":"PgUp"},{"DisplayOrder":5,"QnaId":65,"Qna":null,"DisplayText":"PgDn"},{"DisplayOrder":6,"QnaId":66,"Qna":null,"DisplayText":"Fn+Del"},{"DisplayOrder":7,"QnaId":67,"Qna":null,"DisplayText":"Fn+Backspace"},{"DisplayOrder":8,"QnaId":68,"Qna":null,"DisplayText":"Fn+Spacebar"}]	59	Surface
PrtScn	** PrtScn**\nis Takes a screen shot	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	60	Surface
Home	** Home**\nis Depends on the app you’re using. For example, in Word, it goes to the beginning of a line.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	61	Surface
End	** End**\nis Depends on the app you’re using. For example, in Word, it goes to the end of a line.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	62	Surface
Ins	** Ins**\nis Toggles between insert and overtype mode	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	63	Surface
PgUp	** PgUp**\nis Goes up a page	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	64	Surface
PgDn	** PgDn**\nis Goes down a page	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	65	Surface
Fn+Del	** Fn+Del**\nis Increases screen brightness	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	66	Surface
Fn+Backspace	** Fn+Backspace**\nis Decreases screen brightness	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	67	Surface
Fn+Spacebar	** Fn+Spacebar**\nis Places a screenshot of the entire screen or screens onto your Windows clipboard	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	68	Surface
Touchpad or mouse	**Touchpad or mouse**\n\nYou can use the keyboard touchpad on Surface Book or connect a USB or Bluetooth mouse. For more info about ways you can interact with the keyboard and touchpad, see Using the Surface Book touchpad and keyboard in [Get started with Surface Book](http://www.microsoft.com/surface/support/getting-started/get-started-with-surface-book) on Surface.com.\n\nAlso see these pages on Surface.com:\n\n*   [Touchpad use and settings](http://www.microsoft.com/surface/support/hardware-and-drivers/touchpad-a-builtin-mouse) \n*   [Connect a USB mouse, printer, and more](http://www.microsoft.com/surface/support/hardware-and-drivers/connect-a-usb-phone-camera-mouse-and-more) \n*   [Add a Bluetooth device](http://www.microsoft.com/surface/support/hardware-and-drivers/add-a-bluetooth-device)	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:touchpad or mouse	[]	False	[]	69	Surface
